COLUMNA,DESCRIPCION,TIPO_DATO,LONGITUD,CODIGO_VALIDO
TIPO_DE_DATO,Es la presentación de la información.,varchar,100,"Estimación,Limite de confianza inferior,Limite de confianza superior,Coeficiente de variacion"
UP_CB112,"Unidades de producción con ganado bovino : Es la unidad de producción en la cual se cría o explota  ganado bovino de cualquier edad, sexo, actividad o función zootécnica, en una fecha determinada. Se excluye el ganado de lidia. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_1,Desparasitación interna : Empleo de medicamentos que tienen el propósito de eliminar o controlar parásitos internos del ganado. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
CB141_2,Vacunación : Empleo de sustancias elaboradas a base de microorganismos que permiten prevenir o controlar las enfermedades virales o  bacterianas del ganado. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
CB141_3,"Baño contra parásitos de la piel : Empleo de productos químicos que se aplican al ganado, ya sea mediante inmersión o aspersión, para controlar, combatir y  eliminar parásitos de la piel. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_4,Rotación de potreros : Sistema especializado de manejo de los pastizales basado en alternar el uso con el descanso de dos ó más potreros con el  objetivo de obtener la máxima producción animal por hectárea y conservar los recursos naturales. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
CB141_5,"Alimento balanceado : Mezcla o combinación de productos agrícolas (maíz, trigo, sorgo, entre otros), ganaderos (pollinaza, cerdaza) o industriales  (melaza, harina de sangre, harina de carne y hueso entre otros) que contiene los requerimientos necesarios para una buena  nutrición del ganado. Se incluyen tanto los alimentos que se elaboran en la unidad de producción, como aquellos en que la  mezcla ya preparada proviene de casas comerciales. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_6,"Unidades de producción que utilizaron alimentación con cultivos forrajeros : Son los cultivos que sirven para mejorar sustancialmente la producción y calidad del alimento para el ganado; entre los  que destacan: alfalfa, pastos cultivados, maíz forrajero, sorgo forrajero, trigo forrajero, el nopal forrajero, u otras plantas  cultivadas por sus hojas (col forrajera, achicoria) o raíces (remolacha forrajera), entre otras. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_7,Unidades de producción que utilizaron pastoreo en potreros con pasto nativo : Son terrenos o agostaderos con pasto nativo o natural y en México el más común es el pasto navajita azul. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
CB141_8,"Unidades de producción que utilizaron pastoreo en potreros con pasto inducido : Son terrenos que generalmente cuentan con praderas artificiales, en las que se producen pastos inducidos como la estrella  africana, el pasto bermuda, el guinea o india, el kikuyo, entre otros; por su gran rendimiento y calidad nutricional para el  ganado. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_9,"Unidades de producción que utilizaron alimentación con rastrojos : Conjunto de residuos de tallos y hojas que quedan en el terreno tras cortar un cultivo. En México es común que el rastrojo de  maíz se pique y se le proporcione al ganado como complemento alimenticio, principalmente para dar volumen a la dieta. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_10,"Monta controlada : Práctica de manejo que consiste en programar el periodo de empadre en la época de lluvias (disponibilidad de pastos) para  agrupar los partos en una época determinada y tener grupos homogéneos de lotes de engorda de machos y hembras, lotes de  pie de cría gestantes, recién paridas y vacías. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_11,Recibieron asistencia técnica : Orientación que recibe el productor por parte de personal especializado para la utilización de técnicas o procedimientos con  el propósito de mejorar la producción del ganado. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
CB141_12,"Inseminación artificial : Técnica que consiste en depositar el semen, por medios artificiales, en una hembra en celo, con el fin de preñarla sin que  haya monta directa. Se utiliza principalmente para mejorar la calidad del ganado y evitar enfermedades de transmisión  sexual. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_13,"Aplicación de algún programa de mejoramiento genético : Proceso por medio del cual se va aumentando la calidad genética del ganado con la finalidad de mejorar el tipo, producción y  rendimiento de los animales. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_14,"Aplicación de hormonas : Empleo de sustancias de origen natural o artificial que producen cambios hormonales con fines productivos o reproductivos.  Por ejemplo: aumento de masa muscular, sincronización de celo, aceleración del parto, entre otros. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_15,Roladora de granos : Equipo constituido por un sistema de rolado (hojuelado o fragmentado) al vapor el cual se utiliza para convertir los  almidones insolubles en azúcares lo cual permite incrementar la digestibilidad de los granos así tratados. Unidad de medida: Porcentaje,float,10.2,0000000000.00-9999999999.99
CB141_16,"Transferencia de embriones : Práctica que consiste en transferir, por medios artificiales, un óvulo fecundado de una hembra de alto valor genético a otra  con la finalidad de mejorar la calidad del ganado bovino e incrementar el número de crías de la hembra donadora. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB141_17,"Unidades de producción que utilizaron tanque enfriador : Depósito metálico que cuenta con un control de temperatura y es utilizado para conservar la leche a bajas temperaturas en  adecuadas condiciones de higiene, hasta que ésta pueda ser retirada por un camión de recolección de leche. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CB14199,"Bovino otra tecnología : Empleo de tecnologías no consideradas en las opciones anteriores como son: prueba de tuberculosis, descornado, castración,  la aplicación de hormonas, sistemas de identificación y extracción de semen, entre otras. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
UPCP112,"Unidades de producción con ganado porcino : Es la unidad de producción en la cual se cría o explota  ganado porcino de cualquier edad, sexo, actividad o función zootécnica, en una fecha determinada. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
CP141_1,"Desparasitación : DESPARASITACIÓN INTERNA:  Empleo de medicamentos que tienen el propósito de eliminar o controlar parásitos internos del ganado.  BAÑO O ASPERSIÓN CONTRA GARRAPATA, SARNA Y PIOJO, ENTRE OTROS:  Empleo de productos químicos que se aplican al ganado, ya sea mediante inmersión o aspersión, para controlar, combatir y  eliminar parásitos de la piel. Unidad de medida: Porcentaje",float,10.2,0000000000.00-9999999999.99
